Container stores 5000 plants:
tree: name = rrpkztbnaxly, length = 12, age = 1554, Fraction = 0.08333333333333333
flower: name = aeqjzewmhawfrz, length = 14, type = Type.HOME, Fraction = 0.2857142857142857
tree: name = fjhrptvkyw, length = 10, age = 797, Fraction = 0.0
bush: name = liiqeobnuxqqyyreffqc, length = 20, month = Month.JANUARY, Fraction = 0.3
flower: name = nfcjhyyia, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = yygzjzaxfzduycfjcjs, length = 19, month = Month.SEPTEMBER, Fraction = 0.10526315789473684
flower: name = piwzbgjcjcx, length = 11, type = Type.HOME, Fraction = 0.09090909090909091
flower: name = lvzb, length = 4, type = Type.GARDEN, Fraction = 0.0
bush: name = aybgtps, length = 7, month = Month.MAY, Fraction = 0.14285714285714285
flower: name = wdpcsufombkkxx, length = 14, type = Type.WILD, Fraction = 0.14285714285714285
bush: name = vdhfdwaj, length = 8, month = Month.MAY, Fraction = 0.125
bush: name = pgtqnevigpflhmlieb, length = 18, month = Month.JULY, Fraction = 0.2222222222222222
tree: name = mgvqpelzutapz, length = 13, age = 1087, Fraction = 0.23076923076923078
tree: name = pospgfyiqrhlemxs, length = 16, age = 1298, Fraction = 0.1875
bush: name = ntvmygpcfirhtolbfghe, length = 20, month = Month.APRIL, Fraction = 0.15
flower: name = ih, length = 2, type = Type.HOME, Fraction = 0.5
flower: name = nvkccqenlwjqzfjubhxt, length = 20, type = Type.WILD, Fraction = 0.1
bush: name = xr, length = 2, month = Month.MAY, Fraction = 0.0
flower: name = iluwudua, length = 8, type = Type.WILD, Fraction = 0.625
bush: name = yt, length = 2, month = Month.OCTOBER, Fraction = 0.0
tree: name = polpknxniflfoars, length = 16, age = 511, Fraction = 0.25
bush: name = ysayosfblhnbihcfkmqc, length = 20, month = Month.SEPTEMBER, Fraction = 0.15
bush: name = vucwzzxnbjktazdjuc, length = 18, month = Month.MARCH, Fraction = 0.16666666666666666
flower: name = hlecfqrbpz, length = 10, type = Type.HOME, Fraction = 0.1
tree: name = hqsvrlaufsiryathht, length = 18, age = 227, Fraction = 0.2222222222222222
flower: name = yzcktpk, length = 7, type = Type.WILD, Fraction = 0.0
flower: name = mqlxhbamfppi, length = 12, type = Type.WILD, Fraction = 0.16666666666666666
flower: name = yrhdntfegsmntswubcm, length = 19, type = Type.WILD, Fraction = 0.10526315789473684
tree: name = n, length = 1, age = 1618, Fraction = 0.0
tree: name = fuljybytghxbzxtmkm, length = 18, age = 1610, Fraction = 0.05555555555555555
bush: name = lvbxv, length = 5, month = Month.OCTOBER, Fraction = 0.0
tree: name = jqmtxzrvggr, length = 11, age = 939, Fraction = 0.0
tree: name = jensidrv, length = 8, age = 310, Fraction = 0.25
bush: name = xfyrqiyqulzpzeu, length = 15, month = Month.FEBRUARY, Fraction = 0.26666666666666666
bush: name = munme, length = 5, month = Month.JANUARY, Fraction = 0.4
tree: name = orjorylazvmlgahfpi, length = 18, age = 1774, Fraction = 0.2777777777777778
flower: name = axtdyixelsslto, length = 14, type = Type.WILD, Fraction = 0.2857142857142857
tree: name = htcmqstnylg, length = 11, age = 1997, Fraction = 0.0
tree: name = yzflfwpihnydodzdq, length = 17, age = 1827, Fraction = 0.11764705882352941
bush: name = son, length = 3, month = Month.JANUARY, Fraction = 0.3333333333333333
bush: name = atxqnc, length = 6, month = Month.MARCH, Fraction = 0.16666666666666666
bush: name = jwao, length = 4, month = Month.JULY, Fraction = 0.5
tree: name = l, length = 1, age = 972, Fraction = 0.0
flower: name = giwfoietgcrdwkby, length = 16, type = Type.WILD, Fraction = 0.25
bush: name = knwdi, length = 5, month = Month.MARCH, Fraction = 0.2
bush: name = be, length = 2, month = Month.SEPTEMBER, Fraction = 0.5
tree: name = mcrjfcslvewms, length = 13, age = 1435, Fraction = 0.07692307692307693
flower: name = ssvylzfmeqeteqx, length = 15, type = Type.WILD, Fraction = 0.2
tree: name = yzdsfyqnxoroqlmvalli, length = 20, age = 1154, Fraction = 0.2
bush: name = eqkpxkdmq, length = 9, month = Month.FEBRUARY, Fraction = 0.1111111111111111
bush: name = dkzvuvukjyabfm, length = 14, month = Month.FEBRUARY, Fraction = 0.21428571428571427
bush: name = mognwpyehsahvgos, length = 16, month = Month.FEBRUARY, Fraction = 0.25
flower: name = akgvmeebzlromqnkaoj, length = 19, type = Type.GARDEN, Fraction = 0.3157894736842105
flower: name = ffvriaqmerkrw, length = 13, type = Type.HOME, Fraction = 0.23076923076923078
bush: name = anyrxrylveuvopgx, length = 16, month = Month.APRIL, Fraction = 0.25
tree: name = r, length = 1, age = 1283, Fraction = 0.0
bush: name = drgqlerahlllu, length = 13, month = Month.MARCH, Fraction = 0.23076923076923078
bush: name = gsvn, length = 4, month = Month.MAY, Fraction = 0.0
flower: name = symmoptddijv, length = 12, type = Type.HOME, Fraction = 0.16666666666666666
flower: name = m, length = 1, type = Type.HOME, Fraction = 0.0
tree: name = bmhmukzrxmowonryec, length = 18, age = 372, Fraction = 0.2222222222222222
bush: name = jhennsauwms, length = 11, month = Month.JANUARY, Fraction = 0.2727272727272727
bush: name = xadwqibexfwekkfonz, length = 18, month = Month.AUGUST, Fraction = 0.2777777777777778
flower: name = moz, length = 3, type = Type.HOME, Fraction = 0.3333333333333333
tree: name = x, length = 1, age = 678, Fraction = 0.0
tree: name = eigjxcnai, length = 9, age = 1353, Fraction = 0.4444444444444444
flower: name = vzyppwvbi, length = 9, type = Type.HOME, Fraction = 0.1111111111111111
flower: name = zl, length = 2, type = Type.GARDEN, Fraction = 0.0
tree: name = rw, length = 2, age = 321, Fraction = 0.0
bush: name = cxknaa, length = 6, month = Month.JANUARY, Fraction = 0.3333333333333333
flower: name = xspapxczdlkfqlqbfcjf, length = 20, type = Type.HOME, Fraction = 0.05
flower: name = erq, length = 3, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = nuafwmnf, length = 8, type = Type.HOME, Fraction = 0.25
bush: name = xichgr, length = 6, month = Month.SEPTEMBER, Fraction = 0.16666666666666666
flower: name = jdadjlefbvlnijrpr, length = 17, type = Type.HOME, Fraction = 0.17647058823529413
bush: name = ffumfdsjvlyanynjk, length = 17, month = Month.FEBRUARY, Fraction = 0.11764705882352941
flower: name = xe, length = 2, type = Type.HOME, Fraction = 0.5
tree: name = cmysfvowhcows, length = 13, age = 1220, Fraction = 0.15384615384615385
flower: name = sgbsbhdggmtadlw, length = 15, type = Type.HOME, Fraction = 0.06666666666666667
bush: name = mgcrnm, length = 6, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = vijg, length = 4, age = 440, Fraction = 0.25
flower: name = majjwelpkpcqtacs, length = 16, type = Type.GARDEN, Fraction = 0.1875
bush: name = ptcynobwqb, length = 10, month = Month.MARCH, Fraction = 0.1
bush: name = fcfgrxzaowjstc, length = 14, month = Month.FEBRUARY, Fraction = 0.14285714285714285
bush: name = yjto, length = 4, month = Month.SEPTEMBER, Fraction = 0.25
tree: name = yosvoiixpzdbzvlllo, length = 18, age = 1554, Fraction = 0.2777777777777778
tree: name = lzq, length = 3, age = 1719, Fraction = 0.0
flower: name = ktrhxomwwa, length = 10, type = Type.HOME, Fraction = 0.2
flower: name = pmdyrbcuxovkwdxwu, length = 17, type = Type.HOME, Fraction = 0.17647058823529413
flower: name = yunxdvodovslooiri, length = 17, type = Type.HOME, Fraction = 0.4117647058823529
tree: name = vwidfudlacxkljlxgqff, length = 20, age = 1848, Fraction = 0.15
tree: name = loifqs, length = 6, age = 1103, Fraction = 0.3333333333333333
tree: name = pxhvvwlnmwr, length = 11, age = 471, Fraction = 0.0
flower: name = fxddldmtvdr, length = 11, type = Type.WILD, Fraction = 0.0
tree: name = wrpxmmkcsvy, length = 11, age = 1183, Fraction = 0.0
flower: name = msk, length = 3, type = Type.GARDEN, Fraction = 0.0
tree: name = mpbkypd, length = 7, age = 1676, Fraction = 0.0
tree: name = kjoqxbslbyomsu, length = 14, age = 238, Fraction = 0.21428571428571427
flower: name = gslweo, length = 6, type = Type.GARDEN, Fraction = 0.3333333333333333
flower: name = gwlkhepvvbl, length = 11, type = Type.WILD, Fraction = 0.09090909090909091
tree: name = l, length = 1, age = 1273, Fraction = 0.0
tree: name = iouvzvzoh, length = 9, age = 1361, Fraction = 0.4444444444444444
bush: name = tboenncu, length = 8, month = Month.APRIL, Fraction = 0.375
tree: name = dohbheychwv, length = 11, age = 781, Fraction = 0.18181818181818182
tree: name = xix, length = 3, age = 1596, Fraction = 0.3333333333333333
tree: name = givjsod, length = 7, age = 501, Fraction = 0.2857142857142857
tree: name = xbjetfgjgkgusxxd, length = 16, age = 687, Fraction = 0.125
flower: name = tvcc, length = 4, type = Type.GARDEN, Fraction = 0.0
bush: name = sbnhatsniddatekqjk, length = 18, month = Month.JANUARY, Fraction = 0.2222222222222222
bush: name = kuiydydcekfjszh, length = 15, month = Month.JULY, Fraction = 0.2
bush: name = igacvnszhlms, length = 12, month = Month.FEBRUARY, Fraction = 0.16666666666666666
tree: name = tshtyjmaokttnydi, length = 16, age = 973, Fraction = 0.1875
bush: name = kqjunf, length = 6, month = Month.APRIL, Fraction = 0.16666666666666666
tree: name = hwz, length = 3, age = 423, Fraction = 0.0
bush: name = tiqpgedcjcrexisul, length = 17, month = Month.NOVEMBER, Fraction = 0.29411764705882354
tree: name = xiljgorkk, length = 9, age = 962, Fraction = 0.2222222222222222
bush: name = qtfbbnvu, length = 8, month = Month.MARCH, Fraction = 0.125
bush: name = ivwgqsrf, length = 8, month = Month.APRIL, Fraction = 0.125
tree: name = xfchmeazktvicw, length = 14, age = 1165, Fraction = 0.21428571428571427
tree: name = oi, length = 2, age = 1026, Fraction = 1.0
flower: name = yqzwgkqdnfhnzff, length = 15, type = Type.WILD, Fraction = 0.0
flower: name = ni, length = 2, type = Type.GARDEN, Fraction = 0.5
flower: name = qetucfxrcjjyvmjncvjp, length = 20, type = Type.GARDEN, Fraction = 0.1
bush: name = yiadkaulipj, length = 11, month = Month.AUGUST, Fraction = 0.45454545454545453
flower: name = pgaotjywidazcfzyvpe, length = 19, type = Type.WILD, Fraction = 0.2631578947368421
bush: name = wbxudycin, length = 9, month = Month.NOVEMBER, Fraction = 0.2222222222222222
flower: name = nrwcijjlxmjjndpccyr, length = 19, type = Type.GARDEN, Fraction = 0.05263157894736842
tree: name = ofdyevsbiaegerx, length = 15, age = 692, Fraction = 0.4
tree: name = sicskdsfswruubudsaj, length = 19, age = 648, Fraction = 0.2631578947368421
bush: name = zlitzqi, length = 7, month = Month.OCTOBER, Fraction = 0.2857142857142857
bush: name = sezpnuxn, length = 8, month = Month.OCTOBER, Fraction = 0.25
tree: name = yuajlqehhdxvjihrrh, length = 18, age = 185, Fraction = 0.2222222222222222
flower: name = lxuchyckkjhbbt, length = 14, type = Type.HOME, Fraction = 0.07142857142857142
tree: name = xtxzqec, length = 7, age = 11, Fraction = 0.14285714285714285
bush: name = uoayrwoavoywsjfboh, length = 18, month = Month.DECEMBER, Fraction = 0.3888888888888889
flower: name = iuokoezva, length = 9, type = Type.WILD, Fraction = 0.6666666666666666
tree: name = sbknlkgavbobfq, length = 14, age = 1892, Fraction = 0.14285714285714285
tree: name = jgqwmszxx, length = 9, age = 495, Fraction = 0.0
bush: name = mp, length = 2, month = Month.OCTOBER, Fraction = 0.0
flower: name = wygajlxug, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = mhvp, length = 4, month = Month.AUGUST, Fraction = 0.0
flower: name = phyrikyns, length = 9, type = Type.GARDEN, Fraction = 0.1111111111111111
flower: name = rgrqsufzuumfkvphcdve, length = 20, type = Type.GARDEN, Fraction = 0.2
flower: name = raphqzg, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
bush: name = ksyozs, length = 6, month = Month.JULY, Fraction = 0.16666666666666666
bush: name = mhz, length = 3, month = Month.NOVEMBER, Fraction = 0.0
flower: name = dlpkhbqk, length = 8, type = Type.HOME, Fraction = 0.0
bush: name = iwueah, length = 6, month = Month.JUNE, Fraction = 0.6666666666666666
flower: name = i, length = 1, type = Type.WILD, Fraction = 1.0
bush: name = cgnwtji, length = 7, month = Month.AUGUST, Fraction = 0.14285714285714285
tree: name = eqendt, length = 6, age = 1435, Fraction = 0.3333333333333333
bush: name = ibyxbtiiwd, length = 10, month = Month.SEPTEMBER, Fraction = 0.3
flower: name = c, length = 1, type = Type.WILD, Fraction = 0.0
flower: name = zoltfcgycj, length = 10, type = Type.HOME, Fraction = 0.1
bush: name = lygcrprnguzyhvmjmsl, length = 19, month = Month.JANUARY, Fraction = 0.05263157894736842
tree: name = qhvopejfmxeyezin, length = 16, age = 410, Fraction = 0.3125
tree: name = ojttyouy, length = 8, age = 1997, Fraction = 0.375
flower: name = xfsggofzttpeelk, length = 15, type = Type.HOME, Fraction = 0.2
tree: name = gf, length = 2, age = 1945, Fraction = 0.0
flower: name = zmmkilcfvtuwgvbx, length = 16, type = Type.HOME, Fraction = 0.125
flower: name = cbrlcsymmvnebldeb, length = 17, type = Type.HOME, Fraction = 0.11764705882352941
tree: name = adldiv, length = 6, age = 1897, Fraction = 0.3333333333333333
flower: name = cykren, length = 6, type = Type.WILD, Fraction = 0.16666666666666666
tree: name = zvluzbuloh, length = 10, age = 440, Fraction = 0.3
bush: name = wncanqzjct, length = 10, month = Month.AUGUST, Fraction = 0.1
bush: name = mafilo, length = 6, month = Month.NOVEMBER, Fraction = 0.5
flower: name = bejfhpcjvwxsbxkeq, length = 17, type = Type.HOME, Fraction = 0.11764705882352941
flower: name = bgvufasgfrbysvgn, length = 16, type = Type.GARDEN, Fraction = 0.125
bush: name = mvxkbacysrkgi, length = 13, month = Month.SEPTEMBER, Fraction = 0.15384615384615385
tree: name = hzgdqjhxwthgr, length = 13, age = 1519, Fraction = 0.0
bush: name = dkmbrfigbv, length = 10, month = Month.JUNE, Fraction = 0.1
flower: name = dggvbudxdtq, length = 11, type = Type.HOME, Fraction = 0.09090909090909091
flower: name = cpcxperkcezkz, length = 13, type = Type.GARDEN, Fraction = 0.15384615384615385
flower: name = ivcappcrnardegbshc, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
flower: name = tiepwcwrsnjeswun, length = 16, type = Type.GARDEN, Fraction = 0.25
bush: name = oozhtko, length = 7, month = Month.SEPTEMBER, Fraction = 0.42857142857142855
tree: name = cbyxlal, length = 7, age = 1532, Fraction = 0.14285714285714285
bush: name = c, length = 1, month = Month.MARCH, Fraction = 0.0
flower: name = dwsgarmqtxpygp, length = 14, type = Type.WILD, Fraction = 0.07142857142857142
tree: name = tsdpvhekf, length = 9, age = 96, Fraction = 0.1111111111111111
tree: name = qjiqknwjtaazgyykou, length = 18, age = 323, Fraction = 0.2777777777777778
tree: name = iunp, length = 4, age = 1972, Fraction = 0.5
flower: name = tfkxlxgijucnfcv, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
flower: name = drweugrnrvgicqwgjth, length = 19, type = Type.WILD, Fraction = 0.15789473684210525
tree: name = ygghpwigthzcjxrzbbjn, length = 20, age = 887, Fraction = 0.05
tree: name = b, length = 1, age = 1835, Fraction = 0.0
flower: name = wwvagkhhb, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
tree: name = sgrt, length = 4, age = 165, Fraction = 0.0
flower: name = ntptbc, length = 6, type = Type.WILD, Fraction = 0.0
bush: name = eqozxbbqaylgmj, length = 14, month = Month.APRIL, Fraction = 0.21428571428571427
tree: name = jgmafasipkkkz, length = 13, age = 1791, Fraction = 0.23076923076923078
bush: name = wtdywjhpydwgolloll, length = 18, month = Month.MAY, Fraction = 0.1111111111111111
flower: name = ue, length = 2, type = Type.GARDEN, Fraction = 1.0
tree: name = hkqjljrzym, length = 10, age = 1961, Fraction = 0.0
flower: name = gdtzitnclpjmzynympi, length = 19, type = Type.GARDEN, Fraction = 0.10526315789473684
bush: name = uyyd, length = 4, month = Month.AUGUST, Fraction = 0.25
bush: name = yjbdfbr, length = 7, month = Month.MAY, Fraction = 0.0
tree: name = naktiamawf, length = 10, age = 214, Fraction = 0.4
bush: name = tfbgpglkpb, length = 10, month = Month.JUNE, Fraction = 0.0
tree: name = tzgnudcevemjhcew, length = 16, age = 418, Fraction = 0.25
tree: name = anyyoho, length = 7, age = 1712, Fraction = 0.42857142857142855
bush: name = xoyiflofrhderukkymmm, length = 20, month = Month.JULY, Fraction = 0.25
bush: name = rngtpynp, length = 8, month = Month.FEBRUARY, Fraction = 0.0
bush: name = crki, length = 4, month = Month.MAY, Fraction = 0.25
bush: name = hgydzsotiden, length = 12, month = Month.JULY, Fraction = 0.25
flower: name = xorktcxxgpkx, length = 12, type = Type.HOME, Fraction = 0.08333333333333333
flower: name = bjcpgttysfszvckog, length = 17, type = Type.HOME, Fraction = 0.058823529411764705
flower: name = tgoesamzfysefro, length = 15, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = s, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = fxi, length = 3, type = Type.WILD, Fraction = 0.3333333333333333
tree: name = wbwak, length = 5, age = 1898, Fraction = 0.2
flower: name = wwkvoparvviaod, length = 14, type = Type.WILD, Fraction = 0.35714285714285715
tree: name = mh, length = 2, age = 1997, Fraction = 0.0
tree: name = rrctwtxmvfjawcgzuh, length = 18, age = 841, Fraction = 0.1111111111111111
tree: name = faxsbdt, length = 7, age = 554, Fraction = 0.14285714285714285
bush: name = pzpxasbopcha, length = 12, month = Month.JULY, Fraction = 0.25
tree: name = g, length = 1, age = 640, Fraction = 0.0
tree: name = rzizqqfgnwjiv, length = 13, age = 1694, Fraction = 0.15384615384615385
tree: name = oiozonndmc, length = 10, age = 1397, Fraction = 0.4
flower: name = hjqtkqtjqzyomhcypzdy, length = 20, type = Type.HOME, Fraction = 0.05
flower: name = klhzt, length = 5, type = Type.GARDEN, Fraction = 0.0
tree: name = knvtpdlah, length = 9, age = 185, Fraction = 0.1111111111111111
flower: name = bp, length = 2, type = Type.HOME, Fraction = 0.0
bush: name = ldbgotwn, length = 8, month = Month.OCTOBER, Fraction = 0.125
flower: name = yjrzzpei, length = 8, type = Type.GARDEN, Fraction = 0.25
flower: name = lcmwmdixnrtyeuhhaza, length = 19, type = Type.HOME, Fraction = 0.2631578947368421
flower: name = usy, length = 3, type = Type.HOME, Fraction = 0.3333333333333333
tree: name = gspkqn, length = 6, age = 1428, Fraction = 0.0
flower: name = znbypgbpspblfl, length = 14, type = Type.WILD, Fraction = 0.0
tree: name = wt, length = 2, age = 1174, Fraction = 0.0
flower: name = pp, length = 2, type = Type.WILD, Fraction = 0.0
flower: name = w, length = 1, type = Type.WILD, Fraction = 0.0
tree: name = ys, length = 2, age = 437, Fraction = 0.0
tree: name = zqpvgvwmlrshll, length = 14, age = 818, Fraction = 0.0
flower: name = oodvtor, length = 7, type = Type.HOME, Fraction = 0.42857142857142855
flower: name = jfakskifk, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = cbulsm, length = 6, month = Month.JULY, Fraction = 0.16666666666666666
tree: name = eupbc, length = 5, age = 1789, Fraction = 0.4
bush: name = lblfc, length = 5, month = Month.JANUARY, Fraction = 0.0
tree: name = bjxbjvckuppua, length = 13, age = 1689, Fraction = 0.23076923076923078
tree: name = zqqvqedhhwpzq, length = 13, age = 165, Fraction = 0.07692307692307693
tree: name = spg, length = 3, age = 768, Fraction = 0.0
flower: name = kcmjxeqyibxisgb, length = 15, type = Type.GARDEN, Fraction = 0.2
bush: name = mxa, length = 3, month = Month.FEBRUARY, Fraction = 0.3333333333333333
tree: name = tiifq, length = 5, age = 1113, Fraction = 0.4
bush: name = pwnkeuawtk, length = 10, month = Month.JUNE, Fraction = 0.3
tree: name = jdrqxc, length = 6, age = 31, Fraction = 0.0
flower: name = txaajxio, length = 8, type = Type.GARDEN, Fraction = 0.5
tree: name = vqtuukshbtjl, length = 12, age = 66, Fraction = 0.16666666666666666
bush: name = xwypydadoi, length = 10, month = Month.MARCH, Fraction = 0.3
tree: name = mtijuycexqm, length = 11, age = 1576, Fraction = 0.2727272727272727
bush: name = lwk, length = 3, month = Month.MARCH, Fraction = 0.0
tree: name = yxb, length = 3, age = 613, Fraction = 0.0
tree: name = vnnhy, length = 5, age = 1160, Fraction = 0.0
flower: name = bqseo, length = 5, type = Type.GARDEN, Fraction = 0.4
flower: name = tcefxscuesubhjqggjge, length = 20, type = Type.HOME, Fraction = 0.25
tree: name = bxusijemqabzmsegrg, length = 18, age = 952, Fraction = 0.2777777777777778
flower: name = mmqlhfmbq, length = 9, type = Type.WILD, Fraction = 0.0
flower: name = yguajythizsvmybswt, length = 18, type = Type.GARDEN, Fraction = 0.16666666666666666
bush: name = lkdygosxaunpwidgf, length = 17, month = Month.FEBRUARY, Fraction = 0.23529411764705882
bush: name = qovivd, length = 6, month = Month.AUGUST, Fraction = 0.3333333333333333
tree: name = unecsagzrdhirh, length = 14, age = 897, Fraction = 0.2857142857142857
flower: name = cjcsqrkt, length = 8, type = Type.HOME, Fraction = 0.0
bush: name = rgjedm, length = 6, month = Month.JULY, Fraction = 0.16666666666666666
flower: name = nzsfenx, length = 7, type = Type.GARDEN, Fraction = 0.14285714285714285
tree: name = rvhyu, length = 5, age = 514, Fraction = 0.2
tree: name = rzwrka, length = 6, age = 1757, Fraction = 0.16666666666666666
flower: name = tdfhotk, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
tree: name = xksxzggemhcswecq, length = 16, age = 1195, Fraction = 0.125
flower: name = utojvjuxot, length = 10, type = Type.HOME, Fraction = 0.4
flower: name = fquaid, length = 6, type = Type.HOME, Fraction = 0.5
flower: name = yeldbwuwail, length = 11, type = Type.WILD, Fraction = 0.36363636363636365
bush: name = myknhdx, length = 7, month = Month.DECEMBER, Fraction = 0.0
tree: name = acddexm, length = 7, age = 244, Fraction = 0.2857142857142857
bush: name = xgmgpfrxnwagzfx, length = 15, month = Month.JULY, Fraction = 0.06666666666666667
tree: name = afugjvgwsejokxuxmm, length = 18, age = 612, Fraction = 0.2777777777777778
flower: name = fuwixzdxrsyuwehycu, length = 18, type = Type.WILD, Fraction = 0.2777777777777778
flower: name = jvwdqmwedlp, length = 11, type = Type.GARDEN, Fraction = 0.09090909090909091
tree: name = pffifpzrkamhvtrbbvwt, length = 20, age = 1143, Fraction = 0.1
bush: name = dlopwtrnitdteqgj, length = 16, month = Month.NOVEMBER, Fraction = 0.1875
flower: name = conxo, length = 5, type = Type.GARDEN, Fraction = 0.4
bush: name = hgzuy, length = 5, month = Month.MAY, Fraction = 0.2
flower: name = gqghvpwhv, length = 9, type = Type.WILD, Fraction = 0.0
bush: name = isiy, length = 4, month = Month.JUNE, Fraction = 0.5
tree: name = eupogwljp, length = 9, age = 499, Fraction = 0.3333333333333333
tree: name = jrkqkj, length = 6, age = 159, Fraction = 0.0
bush: name = eexxxtcayx, length = 10, month = Month.MARCH, Fraction = 0.3
tree: name = pgoitfowxryysgnaoivf, length = 20, age = 1144, Fraction = 0.3
tree: name = n, length = 1, age = 1159, Fraction = 0.0
bush: name = brzq, length = 4, month = Month.NOVEMBER, Fraction = 0.0
bush: name = sejwxxvaakvbglzlzpj, length = 19, month = Month.APRIL, Fraction = 0.15789473684210525
bush: name = cxz, length = 3, month = Month.NOVEMBER, Fraction = 0.0
bush: name = xerpiuzpwmyjtkp, length = 15, month = Month.DECEMBER, Fraction = 0.2
flower: name = nnavhkmccapqtqf, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
tree: name = in, length = 2, age = 1217, Fraction = 0.5
bush: name = uvcpddavuwhgh, length = 13, month = Month.AUGUST, Fraction = 0.23076923076923078
flower: name = dhnm, length = 4, type = Type.WILD, Fraction = 0.0
bush: name = kfxzptfdnsplczqe, length = 16, month = Month.DECEMBER, Fraction = 0.0625
tree: name = coiujebgpmsgjipj, length = 16, age = 1790, Fraction = 0.3125
flower: name = jupjyatnhmppzykqwjk, length = 19, type = Type.HOME, Fraction = 0.10526315789473684
tree: name = cdnktnyjuhlpt, length = 13, age = 1023, Fraction = 0.07692307692307693
bush: name = d, length = 1, month = Month.FEBRUARY, Fraction = 0.0
flower: name = nnxd, length = 4, type = Type.HOME, Fraction = 0.0
bush: name = irsyjeoc, length = 8, month = Month.APRIL, Fraction = 0.375
tree: name = vjippibg, length = 8, age = 683, Fraction = 0.25
tree: name = kirtzixk, length = 8, age = 1379, Fraction = 0.25
tree: name = dtwperzpjetjxqsu, length = 16, age = 786, Fraction = 0.1875
flower: name = dpcametfieejjfu, length = 15, type = Type.GARDEN, Fraction = 0.4
tree: name = eekedimhukimpsbgqf, length = 18, age = 1568, Fraction = 0.3333333333333333
flower: name = zbllcc, length = 6, type = Type.WILD, Fraction = 0.0
bush: name = eacybtt, length = 7, month = Month.AUGUST, Fraction = 0.2857142857142857
flower: name = bvgewvfpshjs, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
bush: name = wbpxvinzei, length = 10, month = Month.AUGUST, Fraction = 0.3
flower: name = aifyydaxaziuppkmut, length = 18, type = Type.GARDEN, Fraction = 0.3888888888888889
tree: name = qoqyrbafoy, length = 10, age = 1431, Fraction = 0.3
tree: name = hrnqa, length = 5, age = 130, Fraction = 0.2
tree: name = elvqkzjpxxp, length = 11, age = 1468, Fraction = 0.09090909090909091
tree: name = rgafqfacepbxemshvyzr, length = 20, age = 293, Fraction = 0.2
bush: name = yoqjmplcynfydzca, length = 16, month = Month.AUGUST, Fraction = 0.125
tree: name = gjvaab, length = 6, age = 1677, Fraction = 0.3333333333333333
tree: name = btlyqctjwkgf, length = 12, age = 1572, Fraction = 0.0
bush: name = mignukszyygegdye, length = 16, month = Month.AUGUST, Fraction = 0.25
tree: name = zgqgfjhmh, length = 9, age = 1081, Fraction = 0.0
tree: name = aycqslmyznyzfmhu, length = 16, age = 6, Fraction = 0.125
flower: name = mksidbypbczqvtybse, length = 18, type = Type.GARDEN, Fraction = 0.1111111111111111
bush: name = cldphpylnblo, length = 12, month = Month.APRIL, Fraction = 0.08333333333333333
tree: name = rannuimwiwihvbmqzj, length = 18, age = 654, Fraction = 0.2777777777777778
bush: name = utggaleghsj, length = 11, month = Month.JULY, Fraction = 0.2727272727272727
bush: name = znygmhij, length = 8, month = Month.OCTOBER, Fraction = 0.125
tree: name = mxjmdrip, length = 8, age = 229, Fraction = 0.125
tree: name = rcxfcarrzqe, length = 11, age = 930, Fraction = 0.18181818181818182
flower: name = fafuvohvejd, length = 11, type = Type.HOME, Fraction = 0.36363636363636365
flower: name = spglfvlwrupkrton, length = 16, type = Type.HOME, Fraction = 0.125
bush: name = smr, length = 3, month = Month.MARCH, Fraction = 0.0
flower: name = bvvoy, length = 5, type = Type.HOME, Fraction = 0.2
tree: name = kb, length = 2, age = 78, Fraction = 0.0
bush: name = mlirechirhawrvpslffx, length = 20, month = Month.JANUARY, Fraction = 0.2
tree: name = iycxj, length = 5, age = 1983, Fraction = 0.2
tree: name = ailrftqfovqgtrrsm, length = 17, age = 1678, Fraction = 0.17647058823529413
bush: name = yegkzcjzztpbuvv, length = 15, month = Month.OCTOBER, Fraction = 0.13333333333333333
bush: name = cpecyzffni, length = 10, month = Month.FEBRUARY, Fraction = 0.2
flower: name = xfkwnuagqdmdgixxppf, length = 19, type = Type.HOME, Fraction = 0.15789473684210525
tree: name = kvfwk, length = 5, age = 1112, Fraction = 0.0
flower: name = jtbynqrfhdcve, length = 13, type = Type.HOME, Fraction = 0.07692307692307693
flower: name = dkjcauqdrjgeyagxigtf, length = 20, type = Type.HOME, Fraction = 0.25
bush: name = egtifixhoexwdjeschs, length = 19, month = Month.JULY, Fraction = 0.3157894736842105
tree: name = ojavqtaffkc, length = 11, age = 868, Fraction = 0.2727272727272727
flower: name = hbhslsmwit, length = 10, type = Type.HOME, Fraction = 0.1
