Container stores 10000 plants:
bush: name = xfbfzzfpwiigklfku, length = 17, month = Month.JANUARY, Fraction = 0.17647058823529413
bush: name = pyjvooatzhfyiy, length = 14, month = Month.FEBRUARY, Fraction = 0.2857142857142857
bush: name = buiujltbflnbwdle, length = 16, month = Month.JANUARY, Fraction = 0.25
bush: name = ybxsicnqtvpmewwbzi, length = 18, month = Month.DECEMBER, Fraction = 0.16666666666666666
bush: name = ozxummezkjavdvq, length = 15, month = Month.JANUARY, Fraction = 0.26666666666666666
bush: name = tyxxcefbkiodw, length = 13, month = Month.JANUARY, Fraction = 0.23076923076923078
bush: name = ctzzcvpehmkgrzkfaqn, length = 19, month = Month.APRIL, Fraction = 0.10526315789473684
flower: name = sgidtfzmnlrxlzofsrr, length = 19, type = Type.WILD, Fraction = 0.10526315789473684
tree: name = edvuqron, length = 8, age = 1377, Fraction = 0.375
flower: name = bgexdojncmvcbleawzry, length = 20, type = Type.GARDEN, Fraction = 0.2
bush: name = enqavejua, length = 9, month = Month.JUNE, Fraction = 0.5555555555555556
flower: name = jrdsapjfzsu, length = 11, type = Type.HOME, Fraction = 0.18181818181818182
bush: name = vjapjuvimucfnzfngm, length = 18, month = Month.OCTOBER, Fraction = 0.2222222222222222
flower: name = umybnvprfgiulw, length = 14, type = Type.HOME, Fraction = 0.21428571428571427
bush: name = rtsdbdelqlxcuhmkklml, length = 20, month = Month.MAY, Fraction = 0.1
bush: name = qwlmndmyjjfnqsbjnkau, length = 20, month = Month.JANUARY, Fraction = 0.1
tree: name = quxxt, length = 5, age = 197, Fraction = 0.2
flower: name = wmjojkvmv, length = 9, type = Type.HOME, Fraction = 0.1111111111111111
flower: name = nchs, length = 4, type = Type.HOME, Fraction = 0.0
bush: name = qr, length = 2, month = Month.JULY, Fraction = 0.0
flower: name = jjpxusrbwmhdcgtk, length = 16, type = Type.HOME, Fraction = 0.0625
flower: name = guq, length = 3, type = Type.GARDEN, Fraction = 0.3333333333333333
tree: name = dnqxdobqrrpgxn, length = 14, age = 994, Fraction = 0.07142857142857142
tree: name = rstaqzdagbfbhicgbnc, length = 19, age = 1492, Fraction = 0.15789473684210525
bush: name = y, length = 1, month = Month.OCTOBER, Fraction = 0.0
tree: name = emasjqpd, length = 8, age = 1818, Fraction = 0.25
bush: name = tsvqzqt, length = 7, month = Month.NOVEMBER, Fraction = 0.0
tree: name = kxmffmozyuuiylgwimle, length = 20, age = 1857, Fraction = 0.3
bush: name = qgfz, length = 4, month = Month.AUGUST, Fraction = 0.0
bush: name = vlpwtzyjp, length = 9, month = Month.JULY, Fraction = 0.0
flower: name = lonhhhcgqwkau, length = 13, type = Type.WILD, Fraction = 0.23076923076923078
flower: name = q, length = 1, type = Type.HOME, Fraction = 0.0
flower: name = dgkpliydiqpqwznilwqi, length = 20, type = Type.WILD, Fraction = 0.2
flower: name = mbsmibecxe, length = 10, type = Type.GARDEN, Fraction = 0.3
tree: name = dz, length = 2, age = 1729, Fraction = 0.0
tree: name = wr, length = 2, age = 611, Fraction = 0.0
flower: name = mevoxnseruj, length = 11, type = Type.WILD, Fraction = 0.36363636363636365
bush: name = gcszvmyggniseh, length = 14, month = Month.APRIL, Fraction = 0.14285714285714285
tree: name = hpwfwcghttunyuop, length = 16, age = 1323, Fraction = 0.1875
bush: name = zlxcxka, length = 7, month = Month.OCTOBER, Fraction = 0.14285714285714285
tree: name = dkaiwjbdunethmybm, length = 17, age = 1148, Fraction = 0.23529411764705882
bush: name = csbauepipel, length = 11, month = Month.MARCH, Fraction = 0.45454545454545453
tree: name = eltwgoejhzirmuykffq, length = 19, age = 508, Fraction = 0.2631578947368421
bush: name = n, length = 1, month = Month.JUNE, Fraction = 0.0
tree: name = xarbferhjdw, length = 11, age = 1780, Fraction = 0.18181818181818182
flower: name = muxejwmtnlkoczi, length = 15, type = Type.WILD, Fraction = 0.26666666666666666
bush: name = qdscojubpfqujtkwxjbk, length = 20, month = Month.NOVEMBER, Fraction = 0.15
flower: name = tbjrnpmgvigg, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
tree: name = viuxq, length = 5, age = 26, Fraction = 0.4
flower: name = z, length = 1, type = Type.HOME, Fraction = 0.0
bush: name = etjiinlbf, length = 9, month = Month.OCTOBER, Fraction = 0.3333333333333333
bush: name = yxcheqjnpfkr, length = 12, month = Month.APRIL, Fraction = 0.08333333333333333
tree: name = qzifkuudzxfjuzytneo, length = 19, age = 1460, Fraction = 0.3157894736842105
bush: name = jtlyeffkjk, length = 10, month = Month.NOVEMBER, Fraction = 0.1
flower: name = xkixyxqt, length = 8, type = Type.GARDEN, Fraction = 0.125
tree: name = akzjzqvjxdnsqxnyotva, length = 20, age = 1909, Fraction = 0.15
tree: name = wxs, length = 3, age = 121, Fraction = 0.0
flower: name = qlnggvorcnppsie, length = 15, type = Type.WILD, Fraction = 0.2
tree: name = tue, length = 3, age = 541, Fraction = 0.6666666666666666
bush: name = eoiug, length = 5, month = Month.NOVEMBER, Fraction = 0.8
bush: name = bghzhjmpniefzawanxqw, length = 20, month = Month.MAY, Fraction = 0.2
bush: name = jgabzsoc, length = 8, month = Month.JULY, Fraction = 0.25
bush: name = tbgisowpcvwiyi, length = 14, month = Month.SEPTEMBER, Fraction = 0.2857142857142857
flower: name = dbufuwzq, length = 8, type = Type.WILD, Fraction = 0.25
tree: name = p, length = 1, age = 371, Fraction = 0.0
flower: name = plzoxmkmhqryxo, length = 14, type = Type.HOME, Fraction = 0.14285714285714285
bush: name = uypvezilecxljxistn, length = 18, month = Month.OCTOBER, Fraction = 0.2777777777777778
flower: name = udcwxwwnnbusgekdldu, length = 19, type = Type.HOME, Fraction = 0.21052631578947367
flower: name = dfhgyygu, length = 8, type = Type.HOME, Fraction = 0.125
flower: name = pqphsgurrlvkqjtrv, length = 17, type = Type.WILD, Fraction = 0.058823529411764705
bush: name = wmrkelhbreehh, length = 13, month = Month.APRIL, Fraction = 0.23076923076923078
flower: name = h, length = 1, type = Type.WILD, Fraction = 0.0
tree: name = obpq, length = 4, age = 312, Fraction = 0.25
flower: name = nnnbgswzx, length = 9, type = Type.HOME, Fraction = 0.0
bush: name = nykdajxhze, length = 10, month = Month.NOVEMBER, Fraction = 0.2
flower: name = jkukuxdfnkrrkbqle, length = 17, type = Type.WILD, Fraction = 0.17647058823529413
flower: name = zctaticgwdghdjjtwt, length = 18, type = Type.GARDEN, Fraction = 0.1111111111111111
flower: name = kwdeamkkgvcgi, length = 13, type = Type.GARDEN, Fraction = 0.23076923076923078
bush: name = bjjrhuwlrc, length = 10, month = Month.OCTOBER, Fraction = 0.1
flower: name = cpkprhvyhkqiildwxe, length = 18, type = Type.WILD, Fraction = 0.16666666666666666
flower: name = zxvczxmlzcovxljzvtpz, length = 20, type = Type.HOME, Fraction = 0.05
tree: name = mtcqxpbjeenlwaiengzu, length = 20, age = 1384, Fraction = 0.3
flower: name = ehtzdferdtphrggdbsru, length = 20, type = Type.HOME, Fraction = 0.15
bush: name = vjlcrflgsfzy, length = 12, month = Month.OCTOBER, Fraction = 0.0
flower: name = qilvcloxq, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
tree: name = xqachqootccz, length = 12, age = 572, Fraction = 0.25
tree: name = jrbcbpy, length = 7, age = 1580, Fraction = 0.0
flower: name = mpdunonlinudhuo, length = 15, type = Type.WILD, Fraction = 0.4
tree: name = tpoj, length = 4, age = 929, Fraction = 0.25
flower: name = rnxqpefi, length = 8, type = Type.WILD, Fraction = 0.25
flower: name = gdjprcchmmoajjtijcu, length = 19, type = Type.HOME, Fraction = 0.21052631578947367
tree: name = muavpdeyrn, length = 10, age = 602, Fraction = 0.3
tree: name = zhrsdrpfprqrjsglf, length = 17, age = 1935, Fraction = 0.0
flower: name = hwkdyuq, length = 7, type = Type.WILD, Fraction = 0.14285714285714285
tree: name = nujeqwulydxpxwm, length = 15, age = 1647, Fraction = 0.2
flower: name = bhiwhrbwmxeawplr, length = 16, type = Type.WILD, Fraction = 0.1875
flower: name = czmsvaetxi, length = 10, type = Type.GARDEN, Fraction = 0.3
tree: name = uqbhwph, length = 7, age = 1535, Fraction = 0.14285714285714285
tree: name = sfxbvdagojnfzn, length = 14, age = 1714, Fraction = 0.14285714285714285
flower: name = kzkv, length = 4, type = Type.GARDEN, Fraction = 0.0
tree: name = prnhr, length = 5, age = 275, Fraction = 0.0
bush: name = jttrgkrcuvqwvggk, length = 16, month = Month.JULY, Fraction = 0.0625
flower: name = wyzblcb, length = 7, type = Type.HOME, Fraction = 0.0
flower: name = pdzlnxgoiqln, length = 12, type = Type.GARDEN, Fraction = 0.16666666666666666
flower: name = wxckdbgep, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
bush: name = vs, length = 2, month = Month.FEBRUARY, Fraction = 0.0
bush: name = fmgrgunxhojyk, length = 13, month = Month.JUNE, Fraction = 0.15384615384615385
bush: name = r, length = 1, month = Month.JANUARY, Fraction = 0.0
flower: name = iffbkpazuc, length = 10, type = Type.GARDEN, Fraction = 0.3
bush: name = auboxhhdlubsrps, length = 15, month = Month.NOVEMBER, Fraction = 0.26666666666666666
flower: name = bmebfagksomnirnna, length = 17, type = Type.WILD, Fraction = 0.29411764705882354
flower: name = gdbdbaycjiumuwyd, length = 16, type = Type.GARDEN, Fraction = 0.25
bush: name = mwmclgacyuwpymuuoufh, length = 20, month = Month.MARCH, Fraction = 0.3
flower: name = giagtmalgc, length = 10, type = Type.HOME, Fraction = 0.3
flower: name = ycykbobfwarvvjg, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
tree: name = myfcgemgjryeroiaw, length = 17, age = 1607, Fraction = 0.29411764705882354
flower: name = fl, length = 2, type = Type.GARDEN, Fraction = 0.0
tree: name = ukytqorwkeosaoditr, length = 18, age = 1692, Fraction = 0.3888888888888889
flower: name = qqkmutdtxjcaa, length = 13, type = Type.GARDEN, Fraction = 0.23076923076923078
flower: name = levaeyqpj, length = 9, type = Type.WILD, Fraction = 0.3333333333333333
bush: name = als, length = 3, month = Month.JANUARY, Fraction = 0.3333333333333333
flower: name = e, length = 1, type = Type.WILD, Fraction = 1.0
flower: name = oxiqdfmaprgfnvrnea, length = 18, type = Type.HOME, Fraction = 0.2777777777777778
tree: name = jrkqbou, length = 7, age = 504, Fraction = 0.2857142857142857
tree: name = lonptg, length = 6, age = 1699, Fraction = 0.16666666666666666
tree: name = mgcbxvxtl, length = 9, age = 438, Fraction = 0.0
tree: name = hhcqvgmfzhbgb, length = 13, age = 79, Fraction = 0.0
bush: name = ugo, length = 3, month = Month.AUGUST, Fraction = 0.6666666666666666
tree: name = dvhnn, length = 5, age = 773, Fraction = 0.0
bush: name = zyjdfkbvhcbccelitjpk, length = 20, month = Month.JULY, Fraction = 0.1
tree: name = skjaaancvbgzyq, length = 14, age = 1519, Fraction = 0.21428571428571427
flower: name = jtkhseearz, length = 10, type = Type.HOME, Fraction = 0.3
tree: name = vrmrwpyijthevpqqajlo, length = 20, age = 207, Fraction = 0.2
tree: name = vpqagmmqmbcitjikszxg, length = 20, age = 1911, Fraction = 0.15
flower: name = xkixakdupslrprjhzu, length = 18, type = Type.HOME, Fraction = 0.2222222222222222
tree: name = nezq, length = 4, age = 699, Fraction = 0.25
bush: name = jenrxamorxvopq, length = 14, month = Month.AUGUST, Fraction = 0.2857142857142857
flower: name = seuzqh, length = 6, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = m, length = 1, type = Type.WILD, Fraction = 0.0
flower: name = ifnqalwpym, length = 10, type = Type.WILD, Fraction = 0.2
bush: name = q, length = 1, month = Month.JUNE, Fraction = 0.0
tree: name = gzeaysuwyad, length = 11, age = 409, Fraction = 0.36363636363636365
tree: name = inbn, length = 4, age = 695, Fraction = 0.25
tree: name = yahcip, length = 6, age = 1989, Fraction = 0.3333333333333333
flower: name = ishfznhanwsdhznn, length = 16, type = Type.HOME, Fraction = 0.125
bush: name = z, length = 1, month = Month.JUNE, Fraction = 0.0
flower: name = weehalztajo, length = 11, type = Type.WILD, Fraction = 0.45454545454545453
bush: name = bntbtr, length = 6, month = Month.NOVEMBER, Fraction = 0.0
tree: name = pagabbnbdxatfk, length = 14, age = 1874, Fraction = 0.21428571428571427
bush: name = aespnkervdbzv, length = 13, month = Month.APRIL, Fraction = 0.23076923076923078
bush: name = oxshqsxqwpbekbu, length = 15, month = Month.MARCH, Fraction = 0.2
flower: name = tqlyxkvrksnantykmt, length = 18, type = Type.GARDEN, Fraction = 0.05555555555555555
flower: name = b, length = 1, type = Type.WILD, Fraction = 0.0
tree: name = so, length = 2, age = 1899, Fraction = 0.5
tree: name = mggpjjcqu, length = 9, age = 1827, Fraction = 0.1111111111111111
bush: name = qhepdfe, length = 7, month = Month.DECEMBER, Fraction = 0.2857142857142857
tree: name = hmkn, length = 4, age = 279, Fraction = 0.0
flower: name = pxcqkisojwkjkdthajqq, length = 20, type = Type.HOME, Fraction = 0.15
flower: name = noxgoqes, length = 8, type = Type.GARDEN, Fraction = 0.375
bush: name = xqbhcgjlmliigavz, length = 16, month = Month.AUGUST, Fraction = 0.1875
tree: name = zntha, length = 5, age = 1975, Fraction = 0.2
tree: name = ernbvvstqgd, length = 11, age = 851, Fraction = 0.09090909090909091
bush: name = rwppltoeusrye, length = 13, month = Month.OCTOBER, Fraction = 0.3076923076923077
tree: name = mntadeqwp, length = 9, age = 1324, Fraction = 0.2222222222222222
flower: name = iinttlbj, length = 8, type = Type.HOME, Fraction = 0.25
flower: name = phxzfxsnpc, length = 10, type = Type.HOME, Fraction = 0.0
flower: name = xtwionog, length = 8, type = Type.GARDEN, Fraction = 0.375
tree: name = xttfvwbbntxy, length = 12, age = 1484, Fraction = 0.0
bush: name = ehxif, length = 5, month = Month.JULY, Fraction = 0.4
bush: name = gbwjcbkmgl, length = 10, month = Month.NOVEMBER, Fraction = 0.0
bush: name = kloewej, length = 7, month = Month.APRIL, Fraction = 0.42857142857142855
tree: name = hqdvkrlqccfwj, length = 13, age = 1651, Fraction = 0.0
flower: name = fdmnhwjgmlm, length = 11, type = Type.HOME, Fraction = 0.0
bush: name = cnqtn, length = 5, month = Month.NOVEMBER, Fraction = 0.0
tree: name = lpnbreppek, length = 10, age = 1742, Fraction = 0.2
flower: name = pco, length = 3, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = pqqxx, length = 5, month = Month.JANUARY, Fraction = 0.0
tree: name = lqtl, length = 4, age = 235, Fraction = 0.0
bush: name = qnhfonvntcseak, length = 14, month = Month.SEPTEMBER, Fraction = 0.21428571428571427
tree: name = bxyvhnjifpj, length = 11, age = 1229, Fraction = 0.09090909090909091
flower: name = f, length = 1, type = Type.GARDEN, Fraction = 0.0
bush: name = jaqq, length = 4, month = Month.APRIL, Fraction = 0.25
tree: name = tcj, length = 3, age = 37, Fraction = 0.0
flower: name = rgapexmjtlyoavtznf, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
flower: name = toajukenid, length = 10, type = Type.WILD, Fraction = 0.5
flower: name = izzinuqnbafvf, length = 13, type = Type.HOME, Fraction = 0.3076923076923077
tree: name = fpujpydorreu, length = 12, age = 173, Fraction = 0.3333333333333333
flower: name = tvxmq, length = 5, type = Type.GARDEN, Fraction = 0.0
flower: name = aowhe, length = 5, type = Type.GARDEN, Fraction = 0.6
bush: name = naqxuscrgqnoeguzcfej, length = 20, month = Month.JANUARY, Fraction = 0.3
bush: name = kijoobtnneb, length = 11, month = Month.MARCH, Fraction = 0.36363636363636365
tree: name = usmvqnhzpiammhvt, length = 16, age = 354, Fraction = 0.1875
bush: name = hqtlmiyxuwngddrzxlaw, length = 20, month = Month.JULY, Fraction = 0.15
bush: name = zvjngik, length = 7, month = Month.JULY, Fraction = 0.14285714285714285
flower: name = rcjcmefdx, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
flower: name = qzj, length = 3, type = Type.GARDEN, Fraction = 0.0
bush: name = cidfvlcjy, length = 9, month = Month.APRIL, Fraction = 0.1111111111111111
tree: name = fhbxzzdsakbgr, length = 13, age = 829, Fraction = 0.07692307692307693
flower: name = oyfiyhjz, length = 8, type = Type.HOME, Fraction = 0.25
flower: name = mudmavbesyrmjsqprytv, length = 20, type = Type.HOME, Fraction = 0.15
bush: name = ulqake, length = 6, month = Month.JUNE, Fraction = 0.5
bush: name = ynt, length = 3, month = Month.JANUARY, Fraction = 0.0
bush: name = lkyrgxhwonwbvdt, length = 15, month = Month.AUGUST, Fraction = 0.06666666666666667
flower: name = fpf, length = 3, type = Type.GARDEN, Fraction = 0.0
flower: name = oqfqqowbudvbuuts, length = 16, type = Type.HOME, Fraction = 0.3125
bush: name = didhfsolpgitqp, length = 14, month = Month.MARCH, Fraction = 0.21428571428571427
tree: name = chquxubtikttsh, length = 14, age = 659, Fraction = 0.21428571428571427
bush: name = lyaoua, length = 6, month = Month.SEPTEMBER, Fraction = 0.6666666666666666
tree: name = xbbtdmphfxwvtfamu, length = 17, age = 1693, Fraction = 0.11764705882352941
bush: name = ayckyfuohqxy, length = 12, month = Month.DECEMBER, Fraction = 0.25
bush: name = nayoffqfxbria, length = 13, month = Month.JULY, Fraction = 0.3076923076923077
tree: name = eey, length = 3, age = 754, Fraction = 0.6666666666666666
bush: name = hvqsrawpqnaz, length = 12, month = Month.APRIL, Fraction = 0.16666666666666666
flower: name = idmbwbeuqvwkblplbkxr, length = 20, type = Type.HOME, Fraction = 0.15
bush: name = carlxbounqzvhqcqu, length = 17, month = Month.AUGUST, Fraction = 0.23529411764705882
bush: name = pmyuavrkhl, length = 10, month = Month.JULY, Fraction = 0.2
flower: name = poccccmbnbtqnxjxjvp, length = 19, type = Type.WILD, Fraction = 0.05263157894736842
tree: name = zzaaqseowavzradim, length = 17, age = 1847, Fraction = 0.4117647058823529
flower: name = byeimm, length = 6, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = wpdgwqabpdeaaomh, length = 16, month = Month.APRIL, Fraction = 0.3125
bush: name = omrgkpjbomxvfbldgxl, length = 19, month = Month.MAY, Fraction = 0.10526315789473684
flower: name = oq, length = 2, type = Type.WILD, Fraction = 0.5
bush: name = kzdcwwff, length = 8, month = Month.NOVEMBER, Fraction = 0.0
flower: name = xvbdxrydja, length = 10, type = Type.GARDEN, Fraction = 0.1
flower: name = cfexbacbgudyhet, length = 15, type = Type.HOME, Fraction = 0.26666666666666666
bush: name = knzmaclhdsj, length = 11, month = Month.JULY, Fraction = 0.09090909090909091
bush: name = tvfejkjauhaptwrjvhs, length = 19, month = Month.MARCH, Fraction = 0.21052631578947367
tree: name = pbrbv, length = 5, age = 1924, Fraction = 0.0
flower: name = zlhlrhnkcpsyib, length = 14, type = Type.HOME, Fraction = 0.07142857142857142
flower: name = byzzibawkptmms, length = 14, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = sjbnbpukqarwiylzc, length = 17, type = Type.HOME, Fraction = 0.17647058823529413
bush: name = jbrufdkuxuhxmcbwngve, length = 20, month = Month.APRIL, Fraction = 0.2
flower: name = gtx, length = 3, type = Type.HOME, Fraction = 0.0
tree: name = gkumuiiszyzzoymq, length = 16, age = 1056, Fraction = 0.3125
tree: name = tzamlxmxaiu, length = 11, age = 1764, Fraction = 0.36363636363636365
bush: name = ilg, length = 3, month = Month.APRIL, Fraction = 0.3333333333333333
bush: name = fket, length = 4, month = Month.MAY, Fraction = 0.25
tree: name = alcvhsuzm, length = 9, age = 1560, Fraction = 0.2222222222222222
tree: name = tvrlwziltlffpefo, length = 16, age = 1123, Fraction = 0.1875
flower: name = uregtjxqaxdkcpyy, length = 16, type = Type.HOME, Fraction = 0.1875
tree: name = hkgbnrsstbvncxvouost, length = 20, age = 206, Fraction = 0.15
bush: name = crvjjcgthriojcihyyxc, length = 20, month = Month.JULY, Fraction = 0.15
bush: name = svuzxhr, length = 7, month = Month.APRIL, Fraction = 0.14285714285714285
flower: name = wtt, length = 3, type = Type.HOME, Fraction = 0.0
bush: name = q, length = 1, month = Month.JULY, Fraction = 0.0
flower: name = kntqc, length = 5, type = Type.HOME, Fraction = 0.0
bush: name = djaitjnkildrzumd, length = 16, month = Month.AUGUST, Fraction = 0.25
tree: name = nnquaqxffnwmee, length = 14, age = 924, Fraction = 0.2857142857142857
tree: name = ffpfsmicywnowgtkveb, length = 19, age = 332, Fraction = 0.15789473684210525
bush: name = gkgm, length = 4, month = Month.OCTOBER, Fraction = 0.0
tree: name = evpuixl, length = 7, age = 732, Fraction = 0.42857142857142855
flower: name = bkny, length = 4, type = Type.GARDEN, Fraction = 0.0
bush: name = hjyxudg, length = 7, month = Month.MARCH, Fraction = 0.14285714285714285
tree: name = cvlefrhanqaksk, length = 14, age = 34, Fraction = 0.21428571428571427
flower: name = vmqnlnfnawf, length = 11, type = Type.WILD, Fraction = 0.09090909090909091
tree: name = wwktdswxoq, length = 10, age = 947, Fraction = 0.1
tree: name = jhiwpshzuvejuwqxz, length = 17, age = 854, Fraction = 0.23529411764705882
flower: name = o, length = 1, type = Type.HOME, Fraction = 1.0
flower: name = hunub, length = 5, type = Type.HOME, Fraction = 0.4
flower: name = lglgtiwrzc, length = 10, type = Type.WILD, Fraction = 0.1
bush: name = cvnktzqpc, length = 9, month = Month.OCTOBER, Fraction = 0.0
tree: name = qholyirqxshnqjz, length = 15, age = 1697, Fraction = 0.13333333333333333
tree: name = xxpge, length = 5, age = 1527, Fraction = 0.2
tree: name = lgmwbvrlryphwe, length = 14, age = 1664, Fraction = 0.07142857142857142
flower: name = fyzqwn, length = 6, type = Type.WILD, Fraction = 0.0
flower: name = ilvhopgxjnfeavrux, length = 17, type = Type.GARDEN, Fraction = 0.29411764705882354
flower: name = xmixmqykpde, length = 11, type = Type.HOME, Fraction = 0.18181818181818182
bush: name = qvlrfvxntjngjpwj, length = 16, month = Month.DECEMBER, Fraction = 0.0
bush: name = h, length = 1, month = Month.OCTOBER, Fraction = 0.0
flower: name = jvufguhlshi, length = 11, type = Type.HOME, Fraction = 0.2727272727272727
bush: name = mdqahizo, length = 8, month = Month.FEBRUARY, Fraction = 0.375
tree: name = qqqanbzbpdm, length = 11, age = 587, Fraction = 0.09090909090909091
bush: name = fbg, length = 3, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = lbzbrwgmxjy, length = 11, age = 480, Fraction = 0.0
bush: name = rame, length = 4, month = Month.FEBRUARY, Fraction = 0.5
bush: name = mbfnwcyf, length = 8, month = Month.AUGUST, Fraction = 0.0
flower: name = vofefkhvusg, length = 11, type = Type.HOME, Fraction = 0.2727272727272727
bush: name = bkykpygiaspkyy, length = 14, month = Month.JUNE, Fraction = 0.14285714285714285
bush: name = osu, length = 3, month = Month.JULY, Fraction = 0.6666666666666666
flower: name = ywycrdjwhgg, length = 11, type = Type.HOME, Fraction = 0.0
flower: name = dvlqrrmgrv, length = 10, type = Type.HOME, Fraction = 0.0
tree: name = tqqhdnbrqoswlpfnebt, length = 19, age = 896, Fraction = 0.10526315789473684
flower: name = wk, length = 2, type = Type.GARDEN, Fraction = 0.0
tree: name = slrcaugovirqrvug, length = 16, age = 471, Fraction = 0.3125
flower: name = hifjafrknc, length = 10, type = Type.HOME, Fraction = 0.2
flower: name = po, length = 2, type = Type.HOME, Fraction = 0.5
tree: name = tuoujvhcwt, length = 10, age = 368, Fraction = 0.3
tree: name = trcrzqppptggbcibai, length = 18, age = 1860, Fraction = 0.16666666666666666
tree: name = qgf, length = 3, age = 1209, Fraction = 0.0
flower: name = pr, length = 2, type = Type.HOME, Fraction = 0.0
tree: name = tmgakfffjbqigfzhb, length = 17, age = 97, Fraction = 0.11764705882352941
bush: name = au, length = 2, month = Month.MARCH, Fraction = 1.0
tree: name = xvxvocreklwf, length = 12, age = 574, Fraction = 0.16666666666666666
bush: name = fqazxbgvpxwzb, length = 13, month = Month.FEBRUARY, Fraction = 0.07692307692307693
bush: name = viorugr, length = 7, month = Month.JANUARY, Fraction = 0.42857142857142855
bush: name = hm, length = 2, month = Month.JULY, Fraction = 0.0
tree: name = stpyqqjp, length = 8, age = 1294, Fraction = 0.0
bush: name = ppqtnimwwdnrfw, length = 14, month = Month.AUGUST, Fraction = 0.07142857142857142
tree: name = wyussnb, length = 7, age = 912, Fraction = 0.14285714285714285
bush: name = wwqvibjczgcsa, length = 13, month = Month.NOVEMBER, Fraction = 0.15384615384615385
flower: name = pmslmrlfh, length = 9, type = Type.WILD, Fraction = 0.0
bush: name = bpqxitdsvdvgdmfmra, length = 18, month = Month.JUNE, Fraction = 0.1111111111111111
flower: name = vuagccutqlzaiuq, length = 15, type = Type.WILD, Fraction = 0.4
flower: name = nvjbaiojvof, length = 11, type = Type.GARDEN, Fraction = 0.36363636363636365
flower: name = lytzufwzaeyiyeir, length = 16, type = Type.GARDEN, Fraction = 0.375
bush: name = nphsskwcznezcdhg, length = 16, month = Month.JANUARY, Fraction = 0.0625
bush: name = mola, length = 4, month = Month.DECEMBER, Fraction = 0.5
bush: name = gvu, length = 3, month = Month.DECEMBER, Fraction = 0.3333333333333333
bush: name = pnoxlwadkxt, length = 11, month = Month.DECEMBER, Fraction = 0.18181818181818182
tree: name = xxtud, length = 5, age = 1697, Fraction = 0.2
tree: name = byitnwbqyovrbnuxp, length = 17, age = 1201, Fraction = 0.17647058823529413
bush: name = opr, length = 3, month = Month.AUGUST, Fraction = 0.3333333333333333
flower: name = jqhqergbkhpbutmfot, length = 18, type = Type.GARDEN, Fraction = 0.16666666666666666
tree: name = dt, length = 2, age = 1344, Fraction = 0.0
bush: name = dmwd, length = 4, month = Month.JUNE, Fraction = 0.0
tree: name = zqscn, length = 5, age = 801, Fraction = 0.0
bush: name = qmqmtvrxqyop, length = 12, month = Month.JUNE, Fraction = 0.08333333333333333
flower: name = wwcogupqcesu, length = 12, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = jxpkm, length = 5, month = Month.JULY, Fraction = 0.0
flower: name = uaecpwtlnyxmbixcekky, length = 20, type = Type.WILD, Fraction = 0.25
tree: name = hf, length = 2, age = 1731, Fraction = 0.0
tree: name = khqkiijipkp, length = 11, age = 140, Fraction = 0.2727272727272727
bush: name = xlnctyg, length = 7, month = Month.MARCH, Fraction = 0.0
flower: name = dvyfqewmjgqyuapygee, length = 19, type = Type.HOME, Fraction = 0.2631578947368421
bush: name = sgm, length = 3, month = Month.JANUARY, Fraction = 0.0
flower: name = oikovhiqyrpb, length = 12, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = magtwbnfcuqtw, length = 13, month = Month.APRIL, Fraction = 0.15384615384615385
flower: name = vtnytnmtkdncyajqaknh, length = 20, type = Type.GARDEN, Fraction = 0.1
flower: name = ofkuduzuuoemh, length = 13, type = Type.HOME, Fraction = 0.5384615384615384
flower: name = iklk, length = 4, type = Type.WILD, Fraction = 0.25
bush: name = ulanoejcswq, length = 11, month = Month.NOVEMBER, Fraction = 0.36363636363636365
bush: name = cbyjbtx, length = 7, month = Month.JULY, Fraction = 0.0
flower: name = xzeiyathtkssv, length = 13, type = Type.GARDEN, Fraction = 0.23076923076923078
flower: name = zlelgjdltjmq, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
bush: name = jbkcxolspqbol, length = 13, month = Month.SEPTEMBER, Fraction = 0.15384615384615385
bush: name = zcvoinfhkfzublif, length = 16, month = Month.DECEMBER, Fraction = 0.25
bush: name = tiufbbvqbxdugkrga, length = 17, month = Month.JULY, Fraction = 0.23529411764705882
tree: name = pxxylgivwm, length = 10, age = 1901, Fraction = 0.1
bush: name = sr, length = 2, month = Month.APRIL, Fraction = 0.0
bush: name = fxgksdfdfvo, length = 11, month = Month.MAY, Fraction = 0.09090909090909091
tree: name = iuwvembrxcyjq, length = 13, age = 794, Fraction = 0.23076923076923078
flower: name = avtremdtwgufgyx, length = 15, type = Type.HOME, Fraction = 0.2
